Node	Terminal(Y/N)
FBgn0039852	Y
FBgn0004919	Y
FBgn0004956	Y
FBgn0000251	Y
FBgn0003205	Y
FBgn0003507	Y
FBgn0085197	N
FBgn0020620	Y
FBgn0003719	Y
FBgn0036518	Y
FBgn0004863	Y
FBgn0261988	Y
FBgn0036257	Y
FBgn0031946	N
FBgn0260632	Y
FBgn0004449	N
FBgn0040206	Y
FBgn0000384	Y
FBgn0000490	Y
FBgn0036449	N
FBgn0000077	Y
FBgn0001105	Y
FBgn0024273	Y
FBgn0003430	Y
FBgn0000017	Y
FBgn0011648	Y
FBgn0010263	N
FBgn0004921	Y
FBgn0026479	Y
FBgn0011826	N
FBgn0000163	Y
FBgn0028292	Y
FBgn0026192	Y
FBgn0010389	Y
FBgn0264089	Y
FBgn0087012	Y
FBgn0004864	Y
FBgn0267487	Y
FBgn0260634	N
FBgn0000233	Y
FBgn0000533	Y
FBgn0011278	Y
FBgn0000709	Y
FBgn0051660	Y
FBgn0030608	N
FBgn0022764	N
FBgn0014020	Y
FBgn0086613	N
FBgn0002577	Y
FBgn0036985	Y
FBgn0000117	Y
FBgn0003079	Y
FBgn0020251	Y
FBgn0033468	N
FBgn0261445	Y
FBgn0262743	N
FBgn0261952	Y
FBgn0003900	Y
FBgn0015774	N
FBgn0033649	Y
FBgn0039704	Y
FBgn0000659	Y
FBgn0030342	N
FBgn0015614	N
FBgn0003733	Y
FBgn0003944	Y
FBgn0004862	Y
FBgn0261020	Y
FBgn0086677	Y
FBgn0011202	Y
FBgn0262656	N
FBgn0000719	Y
FBgn0003463	Y
FBgn0003313	Y
FBgn0010905	N
FBgn0052479	N
FBgn0011723	Y
FBgn0004053	Y
FBgn0039851	Y
FBgn0263930	N
FBgn0003943	N
FBgn0034514	Y
FBgn0250843	Y
FBgn0284435	Y
FBgn0038134	Y
FBgn0259685	Y
FBgn0265434	Y
FBgn0266756	Y
FBgn0033075	Y
FBgn0000014	Y
FBgn0000808	Y
FBgn0003391	Y
FBgn0008651	Y
FBgn0035213	N
FBgn0004052	Y
FBgn0261434	Y
FBgn0003514	Y
FBgn0001308	N
FBgn0045759	Y
FBgn0023172	Y
FBgn0085432	Y
FBgn0029906	Y
FBgn0003300	Y
FBgn0003256	Y
FBgn0003720	Y
FBgn0004110	Y
FBgn0003525	Y
FBgn0010215	Y
FBgn0000606	Y
FBgn0028978	Y
FBgn0003731	Y
FBgn0035982	N
FBgn0024958	Y
FBgn0004657	Y
FBgn0013764	N
FBgn0002643	Y
FBgn0020299	Y
FBgn0028408	N
FBgn0036298	Y
FBgn0026319	Y
FBgn0003716	Y
FBgn0004359	Y
FBgn0066365	Y
FBgn0002941	Y
FBgn0003448	Y
FBgn0003041	Y
FBgn0010602	N
FBgn0005590	Y
FBgn0261854	Y
FBgn0026181	Y
FBgn0000635	N
